state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Tennessee,Sevier,47155,98250,21976,56302,19972,76274
Tennessee,Shelby,47157,937166,255641,550154,131371,681525
Tennessee,Smith,47159,20157,4937,11734,3486,15220
Tennessee,Stewart,47161,13715,3134,7748,2833,10581
Tennessee,Sullivan,47163,158348,33398,89765,35185,124950
Tennessee,Sumner,47165,191283,48840,111396,31047,142443
Tennessee,Tipton,47167,61599,16367,36043,9189,45232
Tennessee,Trousdale,47169,11284,2476,7345,1463,8808
Tennessee,Unicoi,47171,17883,3671,10048,4164,14212
Tennessee,Union,47173,19972,4675,11582,3715,15297
Tennessee,Van Buren,47175,5872,1263,3234,1375,4609
Tennessee,Warren,47177,41277,10511,23374,7392,30766
Tennessee,Washington,47179,129375,28461,76639,24275,100914
Tennessee,Wayne,47181,16673,3087,10271,3315,13586
Tennessee,Weakley,47183,33328,7802,19182,6344,25526
Tennessee,White,47185,27345,6514,15216,5615,20831
Tennessee,Williamson,47187,238412,70079,136144,32189,168333
Tennessee,Wilson,47189,144657,37188,84283,23186,107469
Texas,Anderson,48001,57735,12087,36990,8658,45648
Texas,Andrews,48003,18705,6323,10549,1833,12382
Texas,Angelina,48005,86715,24237,48056,14422,62478
Texas,Aransas,48007,23510,4588,12131,6791,18922
Texas,Archer,48009,8553,2029,4847,1677,6524
Texas,Armstrong,48011,1887,462,955,470,1425
Texas,Atascosa,48013,51153,15278,28270,7605,35875
Texas,Austin,48015,30032,7839,16260,5933,22193
Texas,Bailey,48017,7000,2367,3597,1036,4633
Texas,Bandera,48019,23112,4199,12474,6439,18913
Texas,Bastrop,48021,88723,24793,50065,13865,63930
Texas,Baylor,48023,3509,872,1793,844,2637
Texas,Bee,48025,32565,7786,20688,4091,24779
Texas,Bell,48027,362924,110277,212113,40534,252647
Texas,Bexar,48029,2003554,565620,1190091,247843,1437934
Texas,Blanco,48031,11931,2379,6548,3004,9552
Texas,Borden,48033,654,142,338,174,512
Texas,Bosque,48035,18685,4299,9645,4741,14386
Texas,Bowie,48037,93245,24090,53323,15832,69155
Texas,Brazoria,48039,374264,106958,221554,45752,267306
Texas,Brazos,48041,229211,61743,145775,21693,167468
Texas,Brewster,48043,9203,1861,5111,2231,7342
Texas,Briscoe,48045,1546,332,810,404,1214
Texas,Brooks,48047,7093,2137,3648,1308,4956
Texas,Brown,48049,37864,9244,20900,7720,28620
Texas,Burleson,48051,18443,4424,10152,3867,14019
Texas,Burnet,48053,48155,11167,25989,10999,36988
Texas,Caldwell,48055,43664,11670,25482,6512,31994
